transaction_id,transaction_timestamp,transaction_hour,user_id,category,status,amount
20251002-000000,2025-10-02 11:46:08,11,8270,Toys,processing,298.83
20251002-000001,2025-10-02 14:05:37,14,1860,Fashion,completed,282.44
20251002-000002,2025-10-02 15:56:22,15,6390,Home & Garden,completed,464.94
20251002-000003,2025-10-02 22:28:20,22,6191,Books,completed,201.04
20251002-000004,2025-10-02 10:18:56,10,6734,Electronics,completed,128.28
20251002-000005,2025-10-02 21:32:00,21,7265,Books,shipped,529.92
20251002-000006,2025-10-02 22:00:20,22,1466,Toys,completed,607.35
20251002-000007,2025-10-02 20:44:26,20,5426,Electronics,completed,379.98
20251002-000008,2025-10-02 16:02:41,16,6578,Toys,shipped,349.79
20251002-000009,2025-10-02 09:41:58,9,9322,Home & Garden,shipped,600.83
20251002-000010,2025-10-02 15:20:05,15,2685,Electronics,completed,278.17
20251002-000011,2025-10-02 15:34:54,15,1769,Toys,shipped,245.49
20251002-000012,2025-10-02 20:40:43,20,7949,Home & Garden,completed,556.15
20251002-000013,2025-10-02 21:39:35,21,3433,Books,shipped,451.36
20251002-000014,2025-10-02 11:02:27,11,6311,Home & Garden,shipped,609.73
20251002-000015,2025-10-02 08:24:44,8,6051,Fashion,returned,128.96
20251002-000016,2025-10-02 20:44:16,20,7420,Home & Garden,completed,239.9
20251002-000017,2025-10-02 08:37:58,8,2184,Home & Garden,completed,452.15
20251002-000018,2025-10-02 09:44:39,9,5555,Fashion,completed,512.65
20251002-000019,2025-10-02 21:54:57,21,4385,Toys,completed,577.05
20251002-000020,2025-10-02 22:19:51,22,7396,Toys,completed,476.22
20251002-000021,2025-10-02 19:51:02,19,9666,Home & Garden,processing,474.7
20251002-000022,2025-10-02 21:43:11,21,3558,Fashion,completed,391.59
20251002-000023,2025-10-02 16:44:38,16,8849,Fashion,completed,688.64
20251002-000024,2025-10-02 20:33:11,20,3047,Books,shipped,284.55
20251002-000025,2025-10-02 09:20:01,9,3747,Toys,completed,503.85
20251002-000026,2025-10-02 09:55:55,9,1189,Electronics,shipped,301.83
20251002-000027,2025-10-02 13:54:45,13,3734,Toys,completed,530.22
20251002-000028,2025-10-02 14:47:21,14,4005,Toys,completed,294.45
20251002-000029,2025-10-02 20:22:22,20,5658,Books,completed,561.57
20251002-000030,2025-10-02 14:05:29,14,2899,Electronics,completed,466.82
20251002-000031,2025-10-02 22:50:04,22,8734,Books,processing,711.7
20251002-000032,2025-10-02 20:52:08,20,2267,Electronics,completed,407.85
20251002-000033,2025-10-02 16:12:20,16,2528,Home & Garden,completed,513.74
20251002-000034,2025-10-02 13:48:10,13,4556,Electronics,completed,333.05
20251002-000035,2025-10-02 21:22:04,21,4890,Books,completed,406.82
20251002-000036,2025-10-02 15:08:34,15,9838,Toys,processing,465.86
20251002-000037,2025-10-02 18:16:26,18,6393,Electronics,completed,220.92
20251002-000038,2025-10-02 13:01:48,13,9792,Electronics,shipped,237.36
20251002-000039,2025-10-02 09:18:01,9,9433,Fashion,returned,539.98
20251002-000040,2025-10-02 08:18:23,8,8513,Toys,completed,428.09
20251002-000041,2025-10-02 12:55:30,12,3612,Home & Garden,processing,361.06
20251002-000042,2025-10-02 21:06:32,21,8041,Books,completed,339.45
20251002-000043,2025-10-02 16:53:38,16,7235,Home & Garden,completed,345.23
20251002-000044,2025-10-02 15:41:29,15,6486,Toys,completed,466.88
20251002-000045,2025-10-02 21:41:45,21,8099,Electronics,shipped,516.76
20251002-000046,2025-10-02 20:58:36,20,1775,Electronics,returned,136.18
20251002-000047,2025-10-02 11:19:50,11,9226,Toys,completed,661.93
20251002-000048,2025-10-02 12:08:27,12,4152,Electronics,shipped,651.26
20251002-000049,2025-10-02 20:16:59,20,2585,Electronics,completed,100.4
20251002-000050,2025-10-02 12:26:30,12,4943,Electronics,completed,612.89
20251002-000051,2025-10-02 13:46:10,13,8555,Books,completed,608.28
20251002-000052,2025-10-02 10:01:22,10,4073,Books,returned,450.07
20251002-000053,2025-10-02 12:35:56,12,2021,Fashion,shipped,255.42
20251002-000054,2025-10-02 09:18:01,9,4843,Home & Garden,completed,602.28
20251002-000055,2025-10-02 17:16:39,17,8989,Toys,completed,413.82
20251002-000056,2025-10-02 08:04:40,8,7873,Toys,completed,532.33
20251002-000057,2025-10-02 18:38:26,18,6675,Toys,completed,782.88
20251002-000058,2025-10-02 08:17:34,8,1161,Fashion,completed,487.78
20251002-000059,2025-10-02 17:52:01,17,5297,Books,processing,312.47
20251002-000060,2025-10-02 14:53:38,14,1995,Fashion,completed,399.64
20251002-000061,2025-10-02 09:58:36,9,8629,Toys,completed,331.58
20251002-000062,2025-10-02 11:06:20,11,2016,Home & Garden,completed,515.02
20251002-000063,2025-10-02 12:16:57,12,8869,Electronics,processing,329.09
20251002-000064,2025-10-02 14:38:04,14,7439,Books,shipped,379.07
20251002-000065,2025-10-02 09:35:51,9,8892,Books,completed,257.34
20251002-000066,2025-10-02 21:39:44,21,7863,Fashion,shipped,430.19
20251002-000067,2025-10-02 13:44:20,13,8916,Books,completed,476.51
20251002-000068,2025-10-02 08:03:28,8,9529,Toys,completed,47.28
20251002-000069,2025-10-02 14:37:19,14,1878,Toys,completed,488.94
20251002-000070,2025-10-02 16:24:37,16,5887,Fashion,completed,443.14
20251002-000071,2025-10-02 12:04:19,12,5859,Toys,completed,335.25
20251002-000072,2025-10-02 12:29:49,12,7331,Home & Garden,processing,754.29
20251002-000073,2025-10-02 11:11:24,11,9571,Fashion,processing,593.77
20251002-000074,2025-10-02 10:03:01,10,9684,Home & Garden,shipped,285.54
20251002-000075,2025-10-02 16:23:56,16,8208,Electronics,completed,575.74
20251002-000076,2025-10-02 12:28:31,12,6276,Home & Garden,completed,636.67
