transaction_id,transaction_timestamp,transaction_hour,user_id,category,status,amount
20251004-000000,2020-01-01 12:00:00,22,,Toys,completed,161.0
20251004-000001,2020-01-01 12:00:00,15,,Fashion,completed,83.7
20251004-000002,2020-01-01 12:00:00,17,,Home & Garden,completed,231.08
20251004-000003,2020-01-01 12:00:00,16,,Home & Garden,completed,118.92
20251004-000004,2020-01-01 12:00:00,12,,Fashion,completed,196.69
20251004-000005,2020-01-01 12:00:00,17,,Home & Garden,processing,133.73
20251004-000006,2020-01-01 12:00:00,11,,Books,completed,191.88
20251004-000007,2020-01-01 12:00:00,13,,Electronics,processing,215.34
20251004-000008,2020-01-01 12:00:00,15,,Books,processing,182.41
20251004-000009,2020-01-01 12:00:00,18,,Home & Garden,completed,187.79
20251004-000010,2025-10-04 22:42:22,22,,Toys,shipped,145.08
20251004-000011,2025-10-04 10:54:16,10,,Electronics,completed,128.3
20251004-000012,2025-10-04 17:21:47,17,,Electronics,completed,156.91
20251004-000013,2025-10-04 18:22:59,18,,Fashion,completed,133.0
20251004-000014,2025-10-04 18:55:01,18,,Fashion,completed,273.36
20251004-000015,2025-10-04 08:53:19,8,,Toys,completed,100.38
20251004-000016,2025-10-04 11:18:19,11,,Electronics,completed,200.1
20251004-000017,2025-10-04 22:17:58,22,,Toys,shipped,175.86
20251004-000018,2025-10-04 11:11:45,11,,Fashion,shipped,161.49
20251004-000019,2025-10-04 08:54:02,8,,Fashion,completed,223.99
20251004-000020,2025-10-04 16:27:54,16,,Electronics,shipped,164.92
20251004-000021,2025-10-04 10:27:11,10,,Books,completed,118.25
20251004-000022,2025-10-04 12:59:39,12,,Home & Garden,completed,164.59
20251004-000023,2025-10-04 13:58:01,13,,Fashion,processing,140.84
20251004-000024,2025-10-04 15:32:35,15,,Fashion,completed,175.16
20251004-000025,2025-10-04 13:18:13,13,,Books,completed,190.65
20251004-000026,2025-10-04 10:27:15,10,,Books,completed,107.05
20251004-000027,2025-10-04 13:58:18,13,,Toys,completed,209.77
20251004-000028,2025-10-04 08:51:33,8,,Toys,returned,137.26
20251004-000029,2025-10-04 11:48:43,11,,Home & Garden,completed,172.18
20251004-000030,2025-10-04 13:36:45,13,,Home & Garden,processing,180.85
20251004-000031,2025-10-04 14:25:05,14,,Electronics,completed,168.37
20251004-000032,2025-10-04 18:34:12,18,,Toys,completed,144.54
20251004-000033,2025-10-04 20:33:35,20,,Fashion,completed,125.57
20251004-000034,2025-10-04 18:34:21,18,,Toys,shipped,136.55
20251004-000035,2025-10-04 17:39:17,17,,Fashion,completed,228.26
20251004-000036,2025-10-04 10:15:11,10,,Books,processing,106.71
20251004-000037,2025-10-04 16:37:51,16,,Toys,processing,114.04
20251004-000038,2025-10-04 19:12:58,19,,Books,completed,111.84
20251004-000039,2025-10-04 19:22:53,19,,Home & Garden,returned,156.79
20251004-000040,2025-10-04 14:59:29,14,,Home & Garden,processing,73.76
20251004-000041,2025-10-04 21:53:52,21,,Electronics,shipped,82.32
20251004-000042,2025-10-04 08:21:50,8,,Toys,completed,136.95
20251004-000043,2025-10-04 09:15:39,9,,Books,completed,85.61
20251004-000044,2025-10-04 08:27:06,8,,Fashion,completed,89.69
20251004-000045,2025-10-04 18:47:31,18,,Home & Garden,completed,85.99
20251004-000046,2025-10-04 16:34:47,16,,Home & Garden,completed,107.67
20251004-000047,2025-10-04 16:59:18,16,,Fashion,shipped,186.56
20251004-000048,2025-10-04 14:44:05,14,,Books,completed,197.79
20251004-000049,2025-10-04 17:45:19,17,,Books,completed,245.95
20251004-000050,2025-10-04 10:07:26,10,,Toys,processing,244.12
20251004-000051,2025-10-04 20:43:52,20,8555.0,Toys,processing,189.32
20251004-000052,2025-10-04 22:54:42,22,4073.0,Electronics,completed,201.38
20251004-000053,2025-10-04 12:54:36,12,2021.0,Home & Garden,processing,156.56
20251004-000054,2025-10-04 22:21:47,22,4843.0,Toys,completed,175.99
20251004-000055,2025-10-04 11:20:06,11,8989.0,Books,completed,247.18
20251004-000056,2025-10-04 14:25:58,14,7873.0,Fashion,shipped,168.56
20251004-000057,2025-10-04 21:39:04,21,6675.0,Books,completed,207.66
20251004-000058,2025-10-04 16:20:10,16,1161.0,Home & Garden,completed,103.28
20251004-000059,2025-10-04 19:24:14,19,5297.0,Books,completed,116.69
20251004-000060,2025-10-04 09:40:02,9,1995.0,Unknown,completed,165.6
20251004-000061,2025-10-04 20:00:57,20,8629.0,Unknown,completed,157.5
20251004-000062,2025-10-04 15:05:04,15,2016.0,Unknown,completed,119.0
20251004-000063,2025-10-04 22:22:22,22,8869.0,Unknown,shipped,270.37
20251004-000064,2025-10-04 16:50:52,16,7439.0,Unknown,shipped,158.63
20251004-000065,2025-10-04 17:22:36,17,8892.0,Unknown,completed,127.86
20251004-000066,2025-10-04 21:42:08,21,7863.0,Unknown,completed,157.58
20251004-000067,2025-10-04 17:42:14,17,8916.0,Unknown,completed,151.27
20251004-000068,2025-10-04 16:22:02,16,9529.0,Unknown,completed,159.39
20251004-000069,2025-10-04 21:31:28,21,1878.0,Unknown,shipped,70.31
20251004-000070,2025-10-04 17:29:05,17,5887.0,Unknown,completed,214.6
20251004-000071,2025-10-04 21:12:16,21,5859.0,Electronics,completed,217.44
20251004-000072,2025-10-04 14:42:25,14,7331.0,Fashion,shipped,223.52
